,layers,layers_config,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
360,[128→64],"[(128, 'relu'), (64, 'relu')]",0.97,64,0.1,0.1,3.5543,0.0218,49
361,[256],"[(256, 'relu')]",0.995,64,0.1,0.1,3.5606,0.0658,15
362,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.97,512,0.1,0.001,3.5703,0.1536,23
363,[1024],"[(1024, 'relu')]",0.97,64,0.1,0.001,3.5705,0.151,16
364,[256],"[(256, 'relu')]",0.99,64,0.1,0.1,3.5795,0.0532,15
365,[256],"[(256, 'relu')]",0.995,64,0.1,0.01,3.5859,0.0841,25
366,[256],"[(256, 'relu')]",0.97,64,0.1,0.01,3.5859,0.1181,39
367,[512→128],"[(512, 'relu'), (128, 'relu')]",0.995,64,0.1,0.01,3.6024,0.0231,23
368,[1024],"[(1024, 'relu')]",0.97,64,0.1,0.01,3.609,0.133,13
369,[128→64],"[(128, 'relu'), (64, 'relu')]",0.97,256,0.1,0.01,3.6104,0.055,38
370,[256→64],"[(256, 'relu'), (64, 'relu')]",0.99,512,0.1,0.001,3.6203,0.0831,32
371,[1024],"[(1024, 'relu')]",0.995,64,0.1,0.1,3.6235,0.0598,11
372,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,256,0.1,0.001,3.6249,0.0946,31
373,[512],"[(512, 'relu')]",0.97,64,0.1,0.01,3.6395,0.1405,24
374,[256],"[(256, 'relu')]",0.99,64,0.1,0.001,3.6404,0.1174,34
375,[512],"[(512, 'relu')]",0.97,64,0.1,0.001,3.6511,0.1231,21
376,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.99,64,0.1,0.01,3.6522,0.0066,36
377,[512],"[(512, 'relu')]",0.995,64,0.1,0.1,3.6635,0.0389,13
378,[128→64],"[(128, 'relu'), (64, 'relu')]",0.97,512,0.1,0.001,3.6647,0.0599,24
379,[1024],"[(1024, 'relu')]",0.995,64,0.1,0.01,3.6661,0.104,11
380,[512],"[(512, 'relu')]",0.99,64,0.1,0.001,3.6708,0.0827,16
381,[256],"[(256, 'relu')]",0.97,64,0.1,0.001,3.6762,0.083,15
382,[512],"[(512, 'relu')]",0.995,64,0.1,0.001,3.6774,0.1153,23
383,[512],"[(512, 'relu')]",0.995,64,0.1,0.01,3.6776,0.0768,11
384,[256],"[(256, 'relu')]",0.99,64,0.1,0.01,3.6851,0.0871,27
385,[128],"[(128, 'relu')]",0.99,64,0.1,0.01,3.6885,0.0665,14
386,[512],"[(512, 'relu')]",0.99,64,0.1,0.01,3.6898,0.1064,26
387,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.995,64,0.1,0.001,3.6917,0.0152,21
388,[128],"[(128, 'relu')]",0.995,64,0.1,0.001,3.6929,0.0813,12
389,[512→128],"[(512, 'relu'), (128, 'relu')]",0.99,64,0.1,0.01,3.6986,0.0027,17
390,[128],"[(128, 'relu')]",0.99,64,0.1,0.1,3.7002,0.0345,13
391,[1024],"[(1024, 'relu')]",0.99,64,0.1,0.01,3.7049,0.0962,17
392,[1024],"[(1024, 'relu')]",0.99,64,0.1,0.001,3.7061,0.0636,12
