,layers,layers_config,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
684,[128],"[(128, 'relu')]",0.975,512,0.1,0.1,2.8226,0.3792,29
685,[512→128],"[(512, 'relu'), (128, 'relu')]",0.95,64,0.1,0.15,2.8279,0.1783,61
686,[256→64],"[(256, 'relu'), (64, 'relu')]",0.975,64,0.1,0.25,2.8304,0.198,89
687,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.95,64,0.1,0.1,2.8318,0.2239,50
688,[256],"[(256, 'relu')]",0.96,512,0.1,0.1,2.841,0.4388,28
689,[512→128],"[(512, 'relu'), (128, 'relu')]",0.975,512,0.1,0.1,2.8484,0.2721,28
690,[512→128],"[(512, 'relu'), (128, 'relu')]",0.975,64,0.1,0.2,2.8507,0.214,72
691,[128→64],"[(128, 'relu'), (64, 'relu')]",0.9,256,0.1,0.1,2.8533,0.302,30
692,[128→64],"[(128, 'relu'), (64, 'relu')]",0.9,64,0.1,0.25,2.871,0.1855,50
693,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.96,512,0.1,0.1,2.8716,0.3598,36
694,[128→64],"[(128, 'relu'), (64, 'relu')]",0.95,64,0.1,0.1,2.8736,0.2348,62
695,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.95,256,0.1,0.1,2.8824,0.3886,41
696,[256→64],"[(256, 'relu'), (64, 'relu')]",0.9,64,0.1,0.15,2.8831,0.2284,34
697,[512→128],"[(512, 'relu'), (128, 'relu')]",0.96,64,0.1,0.15,2.8908,0.188,56
698,[512],"[(512, 'relu')]",0.95,512,0.1,0.1,2.8915,0.4499,28
699,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.95,64,0.1,0.2,2.8969,0.1817,75
700,[512],"[(512, 'relu')]",0.975,64,0.1,0.1,2.8982,0.2227,56
701,[128→64],"[(128, 'relu'), (64, 'relu')]",0.95,64,0.1,0.2,2.9028,0.1691,51
702,[256→64],"[(256, 'relu'), (64, 'relu')]",0.975,256,0.1,0.1,2.9063,0.3026,51
703,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.975,64,0.1,0.1,2.9075,0.1512,42
704,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.96,512,0.1,0.15,2.9087,0.3313,40
705,[128→64],"[(128, 'relu'), (64, 'relu')]",0.95,512,0.1,0.15,2.9147,0.2561,44
706,[128],"[(128, 'relu')]",0.975,64,0.1,0.25,2.9188,0.1955,60
707,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.975,64,0.1,0.15,2.9234,0.1608,71
708,[512→128],"[(512, 'relu'), (128, 'relu')]",0.96,256,0.1,0.1,2.9245,0.3043,40
709,[128],"[(128, 'relu')]",0.96,64,0.1,0.2,2.9248,0.1987,79
710,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.96,64,0.1,0.15,2.9339,0.2079,60
711,[256→64],"[(256, 'relu'), (64, 'relu')]",0.95,512,0.1,0.15,2.9386,0.2609,54
712,[128→64],"[(128, 'relu'), (64, 'relu')]",0.9,256,0.1,0.15,2.9442,0.2938,43
713,[512],"[(512, 'relu')]",0.975,256,0.1,0.1,2.9539,0.453,38
714,[512],"[(512, 'relu')]",0.975,512,0.1,0.1,2.955,0.4142,27
715,[512→128],"[(512, 'relu'), (128, 'relu')]",0.96,64,0.1,0.2,2.9572,0.1109,72
716,[1024],"[(1024, 'relu')]",0.975,64,0.1,0.2,2.9575,0.1467,55
717,[256→64],"[(256, 'relu'), (64, 'relu')]",0.975,512,0.1,0.1,2.9626,0.3042,51
718,[512→128],"[(512, 'relu'), (128, 'relu')]",0.975,256,0.1,0.1,2.9645,0.2134,59
719,[128],"[(128, 'relu')]",0.96,256,0.1,0.1,2.9854,0.4032,42
720,[512→128],"[(512, 'relu'), (128, 'relu')]",0.96,64,0.1,0.25,2.9934,0.1327,65
721,[128→64],"[(128, 'relu'), (64, 'relu')]",0.975,512,0.1,0.15,3.0146,0.2934,50
722,[128→64],"[(128, 'relu'), (64, 'relu')]",0.96,256,0.1,0.1,3.017,0.2346,26
723,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.95,512,0.1,0.1,3.0223,0.329,40
724,[256→64],"[(256, 'relu'), (64, 'relu')]",0.96,64,0.1,0.25,3.0356,0.1333,81
725,[128→64],"[(128, 'relu'), (64, 'relu')]",0.9,512,0.1,0.15,3.0828,0.1374,49
726,[256→64],"[(256, 'relu'), (64, 'relu')]",0.95,64,0.1,0.15,3.0863,0.139,52
727,[512→128],"[(512, 'relu'), (128, 'relu')]",0.975,64,0.1,0.25,3.0914,0.1154,100
728,[256→64],"[(256, 'relu'), (64, 'relu')]",0.975,64,0.1,0.1,3.0932,0.1066,84
729,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.9,64,0.1,0.15,3.0957,0.1133,51
730,[512→128],"[(512, 'relu'), (128, 'relu')]",0.975,64,0.1,0.15,3.096,0.1202,78
731,[128→64],"[(128, 'relu'), (64, 'relu')]",0.9,512,0.1,0.1,3.0968,0.1986,30
732,[128→64],"[(128, 'relu'), (64, 'relu')]",0.95,64,0.1,0.15,3.1291,0.0883,60
733,[128→64],"[(128, 'relu'), (64, 'relu')]",0.96,64,0.1,0.1,3.1435,0.1296,62
734,[128→64],"[(128, 'relu'), (64, 'relu')]",0.96,512,0.1,0.1,3.1473,0.3457,56
735,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.95,64,0.1,0.15,3.1501,0.1079,72
736,[128],"[(128, 'relu')]",0.95,64,0.1,0.15,3.1632,0.0948,70
737,[512→128],"[(512, 'relu'), (128, 'relu')]",0.95,512,0.1,0.1,3.1666,0.2427,43
738,[512→128],"[(512, 'relu'), (128, 'relu')]",0.95,64,0.1,0.1,3.1667,0.135,56
739,[128→64],"[(128, 'relu'), (64, 'relu')]",0.975,64,0.1,0.1,3.194,0.0685,59
740,[128→64],"[(128, 'relu'), (64, 'relu')]",0.96,64,0.1,0.2,3.2009,0.0684,59
741,[256→64],"[(256, 'relu'), (64, 'relu')]",0.9,512,0.1,0.2,3.2404,0.123,100
742,[256→64],"[(256, 'relu'), (64, 'relu')]",0.96,64,0.1,0.2,3.2487,0.0576,56
743,[256→64],"[(256, 'relu'), (64, 'relu')]",0.975,64,0.1,0.2,3.2625,0.049,25
744,[128→64],"[(128, 'relu'), (64, 'relu')]",0.9,64,0.1,0.15,3.312,0.0757,26
745,[512→128],"[(512, 'relu'), (128, 'relu')]",0.95,64,0.1,0.25,3.3297,0.0519,50
746,[512→128],"[(512, 'relu'), (128, 'relu')]",0.95,256,0.1,0.1,3.3446,0.1225,38
747,[128],"[(128, 'relu')]",0.975,64,0.1,0.1,3.6032,0.043,22
748,[1024],"[(1024, 'relu')]",0.975,64,0.1,0.15,3.6136,0.0557,14
749,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.975,64,0.1,0.25,3.6469,0.0067,21
750,[256],"[(256, 'relu')]",0.975,64,0.1,0.15,3.6494,0.0407,15
751,[256],"[(256, 'relu')]",0.975,64,0.1,0.1,3.7695,0.0251,16
752,[128→64],"[(128, 'relu'), (64, 'relu')]",0.95,64,0.1,0.25,3.9009,0.0009,17
753,[128→64],"[(128, 'relu'), (64, 'relu')]",0.975,64,0.1,0.2,3.9014,0.0007,48
754,[128→64],"[(128, 'relu'), (64, 'relu')]",0.9,256,0.1,0.2,3.9018,0.0009,11
755,[256→64],"[(256, 'relu'), (64, 'relu')]",0.95,64,0.1,0.1,3.9018,0.0007,29
756,[256→64],"[(256, 'relu'), (64, 'relu')]",0.9,256,0.1,0.15,3.9021,0.0007,16
757,[128→64],"[(128, 'relu'), (64, 'relu')]",0.9,512,0.1,0.25,3.9021,0.0007,19
758,[128→64],"[(128, 'relu'), (64, 'relu')]",0.9,512,0.1,0.2,3.9024,0.0007,18
759,[128→64],"[(128, 'relu'), (64, 'relu')]",0.975,64,0.1,0.25,3.9031,0.0007,29
760,[256→64],"[(256, 'relu'), (64, 'relu')]",0.96,512,0.1,0.15,3.9033,0.0008,17
761,[128→64],"[(128, 'relu'), (64, 'relu')]",0.96,64,0.1,0.15,3.9035,0.0009,14
762,[256→64],"[(256, 'relu'), (64, 'relu')]",0.96,512,0.1,0.1,3.9037,0.0007,40
763,[256→64],"[(256, 'relu'), (64, 'relu')]",0.95,512,0.1,0.1,3.9039,0.0007,11
764,[256→64],"[(256, 'relu'), (64, 'relu')]",0.96,64,0.1,0.1,3.9042,0.0007,39
765,[256→64],"[(256, 'relu'), (64, 'relu')]",0.95,512,0.1,0.2,3.9049,0.0007,11
766,[512→128],"[(512, 'relu'), (128, 'relu')]",0.975,64,0.1,0.1,3.905,0.0009,11
767,[128→64],"[(128, 'relu'), (64, 'relu')]",0.975,64,0.1,0.15,3.9108,0.001,12
768,[256→64],"[(256, 'relu'), (64, 'relu')]",0.975,64,0.1,0.15,3.9114,0.001,12
