,layers,layers_config,dropout,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
890,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.5,0.96,512,0.01,0.15,1.6405,0.6248,82
891,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.3,0.96,512,0.01,0.1,1.6413,0.6289,43
892,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.5,0.975,512,0.01,0.1,1.6413,0.6106,61
893,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.1,0.96,258,0.01,0.15,1.6432,0.6572,17
894,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.1,0.975,258,0.01,0.2,1.6438,0.6651,18
895,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.1,0.975,258,0.01,0.25,1.6446,0.6335,17
896,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.1,0.96,512,0.01,0.2,1.6459,0.6311,21
897,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.1,0.975,258,0.01,0.2,1.6473,0.654,20
898,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.1,0.9,258,0.01,0.1,1.649,0.6682,17
899,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.1,0.975,258,0.01,0.2,1.6497,0.6537,18
900,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.1,0.9,258,0.01,0.15,1.6498,0.6293,20
901,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.1,0.96,258,0.01,0.1,1.6519,0.6284,17
902,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.1,0.975,512,0.01,0.1,1.6532,0.6359,21
903,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.3,0.95,258,0.01,0.15,1.6545,0.6379,19
904,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.3,0.95,258,0.01,0.1,1.6585,0.6294,23
905,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.1,0.96,258,0.01,0.15,1.6588,0.646,18
906,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.3,0.96,258,0.01,0.1,1.6602,0.6184,25
907,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.1,0.95,512,0.01,0.2,1.6609,0.6275,20
908,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.5,0.975,258,0.01,0.25,1.662,0.6103,88
909,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.3,0.975,258,0.01,0.1,1.6622,0.6384,29
910,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.3,0.96,258,0.01,0.1,1.6635,0.6095,29
911,[1024],"[(1024, 'leaky_relu')]",0.3,0.9,258,0.01,0.1,1.6638,0.6669,16
912,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.1,0.95,512,0.01,0.2,1.6653,0.6465,24
913,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.5,0.95,512,0.01,0.25,1.6658,0.6066,93
914,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.1,0.9,512,0.01,0.1,1.6664,0.6661,18
915,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.5,0.96,258,0.01,0.1,1.6666,0.5853,46
916,[512→64],"[(512, 'gelu'), (64, 'silu')]",0.1,0.975,258,0.01,0.25,1.6674,0.642,20
917,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.5,0.975,258,0.01,0.1,1.6724,0.6146,69
918,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.1,0.975,512,0.01,0.15,1.6736,0.6646,21
919,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.1,0.96,512,0.01,0.1,1.6752,0.6526,18
920,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.3,0.95,512,0.01,0.25,1.6766,0.6284,69
921,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.1,0.9,512,0.01,0.1,1.6767,0.6474,21
922,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.1,0.975,512,0.01,0.1,1.6783,0.644,20
923,[512→64],"[(512, 'leaky_relu'), (64, 'gelu')]",0.1,0.95,512,0.01,0.1,1.6825,0.6364,20
