,layers,layers_config,dropout,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
79,[256],"[(256, 'leaky_relu')]",0.5,0.99,512,0.01,0.1,1.4592,0.6581,23
80,[256],"[(256, 'silu')]",0.3,0.99,512,0.01,0.001,1.4611,0.6704,16
81,[256],"[(256, 'leaky_relu')]",0.3,0.97,512,0.01,0.01,1.4621,0.6746,21
82,[256],"[(256, 'silu')]",0.5,0.97,258,0.01,0.01,1.4629,0.6458,16
83,[256],"[(256, 'silu')]",0.3,0.99,512,0.01,0.1,1.463,0.6844,22
84,[512],"[(512, 'gelu')]",0.5,0.99,258,0.01,0.1,1.464,0.671,20
85,[512],"[(512, 'gelu')]",0.3,0.97,512,0.01,0.01,1.4683,0.6695,15
86,[512],"[(512, 'gelu')]",0.3,0.97,258,0.01,0.001,1.469,0.6859,17
87,[512],"[(512, 'silu')]",0.3,0.97,258,0.01,0.001,1.4721,0.6941,17
88,[512],"[(512, 'gelu')]",0.1,0.97,512,0.01,0.01,1.4728,0.6777,15
89,[512],"[(512, 'leaky_relu')]",0.3,0.99,512,0.01,0.001,1.4729,0.6801,17
90,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.5,0.97,258,0.01,0.1,1.4731,0.6193,32
91,[256],"[(256, 'leaky_relu')]",0.5,0.97,258,0.01,0.01,1.4738,0.6567,20
92,[512],"[(512, 'gelu')]",0.5,0.99,512,0.01,0.001,1.4742,0.6789,22
93,[512],"[(512, 'leaky_relu')]",0.1,0.97,258,0.01,0.1,1.4749,0.6923,24
94,[512],"[(512, 'leaky_relu')]",0.3,0.97,258,0.01,0.1,1.4764,0.6864,18
95,[512→64],"[(512, 'silu'), (64, 'leaky_relu')]",0.5,0.97,512,0.01,0.1,1.4786,0.6426,61
96,[256],"[(256, 'gelu')]",0.3,0.99,512,0.01,0.1,1.4799,0.671,18
97,[256],"[(256, 'leaky_relu')]",0.3,0.99,258,0.01,0.1,1.4806,0.6604,16
98,[256],"[(256, 'leaky_relu')]",0.5,0.99,512,0.01,0.01,1.4818,0.6618,23
99,[256],"[(256, 'silu')]",0.5,0.99,512,0.01,0.001,1.4841,0.6614,20
100,[512],"[(512, 'gelu')]",0.3,0.99,512,0.01,0.001,1.4842,0.6875,16
101,[256],"[(256, 'silu')]",0.3,0.99,512,0.01,0.01,1.4855,0.6671,18
102,[256],"[(256, 'gelu')]",0.3,0.97,512,0.01,0.01,1.4873,0.6659,18
103,[256],"[(256, 'silu')]",0.5,0.97,258,0.01,0.001,1.4878,0.6547,18
104,[256],"[(256, 'gelu')]",0.3,0.97,258,0.01,0.1,1.4892,0.6614,19
